league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage_standings,coverage_fixtures_events,coverage_fixtures_lineups,coverage_fixtures_statistics,coverage_fixtures_players_statistics,coverage_players,coverage_topscorers,coverage_predictions,coverage_odds
1379,USL League Two,League,USA,US,2020,2020-05-09,2020-07-17,https://media.api-sports.io/football/leagues/256.png,https://media.api-sports.io/flags/us.svg,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1380,Premier League,League,Bangladesh,BD,2020,2020-02-13,2020-07-30,https://media.api-sports.io/football/leagues/398.png,https://media.api-sports.io/flags/bd.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1381,Premier League,League,Malaysia,MY,2020,2020-02-29,2020-10-09,https://media.api-sports.io/football/leagues/279.png,https://media.api-sports.io/flags/my.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
1382,Serie B,League,Ecuador,EC,2020,2020-02-29,2020-11-14,https://media.api-sports.io/football/leagues/243.png,https://media.api-sports.io/flags/ec.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1383,Vysshaya Liga,League,Belarus,BY,2020,2020-03-19,2020-11-28,https://media.api-sports.io/football/leagues/116.png,https://media.api-sports.io/flags/by.svg,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
1384,2. Division - Group 2,League,Norway,NO,2020,2020-07-11,2020-11-21,https://media.api-sports.io/football/leagues/474.png,https://media.api-sports.io/flags/no.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1385,2. Division - Group 1,League,Norway,NO,2020,2020-07-10,2020-11-21,https://media.api-sports.io/football/leagues/473.png,https://media.api-sports.io/flags/no.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1386,League Cup,Cup,Ireland,IE,2020,2020-03-08,2020-03-23,https://media.api-sports.io/football/leagues/360.png,https://media.api-sports.io/flags/ie.svg,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1387,Cup,Cup,Iceland,IS,2020,2020-04-09,2020-11-04,https://media.api-sports.io/football/leagues/167.png,https://media.api-sports.io/flags/is.svg,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1388,Division 1,League,Jordan,JO,2019,2020-03-05,2020-10-25,https://media.api-sports.io/football/leagues/387.png,https://media.api-sports.io/flags/jo.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1389,FA Cup,Cup,South-Korea,KR,2020,2020-05-09,2020-11-08,https://media.api-sports.io/football/leagues/294.png,https://media.api-sports.io/flags/kr.svg,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1390,Super League,League,Indonesia,ID,2020,2020-02-29,2021-02-28,https://media.api-sports.io/football/leagues/274.png,https://media.api-sports.io/flags/id.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1391,NWSL Women,League,USA,US,2020,2020-09-05,2020-10-18,https://media.api-sports.io/football/leagues/254.png,https://media.api-sports.io/flags/us.svg,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1392,Canadian Premier League,League,Canada,CA,2020,2020-08-14,2020-09-19,https://media.api-sports.io/football/leagues/479.png,https://media.api-sports.io/flags/ca.svg,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
1393,Cup,Cup,Vietnam,VN,2020,2020-05-23,2020-09-20,https://media.api-sports.io/football/leagues/341.png,https://media.api-sports.io/flags/vn.svg,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1394,Olympics Men,Cup,World,,2012,2012-07-26,2012-08-11,https://media.api-sports.io/football/leagues/480.png,,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1395,Olympics Men,Cup,World,,2016,2016-08-04,2016-08-20,https://media.api-sports.io/football/leagues/480.png,,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1396,Serie A,League,Brazil,BR,2020,2020-08-08,2021-02-24,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1397,Serie B,League,Brazil,BR,2020,2020-08-07,2021-01-30,https://media.api-sports.io/football/leagues/72.png,https://media.api-sports.io/flags/br.svg,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1398,Northern NSW NPL,League,Australia,AU,2020,2020-07-12,2020-11-08,https://media.api-sports.io/football/leagues/481.png,https://media.api-sports.io/flags/au.svg,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
